iter	Passed	Remaining
455	770	7674
456	772	7676
457	773	7672
458	775	7668
459	776	7663
460	777	7658
461	779	7654
462	780	7649
463	782	7645
464	783	7641
465	785	7638
466	786	7634
467	788	7631
468	789	7627
469	790	7623
470	792	7621
471	794	7618
472	795	7616
473	797	7612
474	798	7609
475	800	7604
476	801	7599
477	802	7596
478	804	7592
479	805	7587
480	807	7584
481	808	7580
482	810	7577
483	811	7573
484	813	7569
485	814	7566
486	816	7562
487	817	7558
488	818	7554
489	820	7550
490	821	7545
491	823	7542
492	824	7537
493	825	7532
494	827	7529
495	828	7526
496	830	7521
497	831	7516
498	833	7515
499	834	7510
500	836	7510
501	837	7507
502	839	7504
503	840	7500
504	842	7495
505	843	7492
506	844	7487
507	846	7484
508	848	7483
509	849	7481
510	851	7479
511	853	7478
512	854	7476
513	856	7473
514	857	7469
515	859	7466
516	860	7463
517	862	7459
518	863	7456
519	865	7453
520	866	7450
521	868	7448
522	869	7445
523	871	7442
524	872	7439
525	874	7435
526	875	7432
527	877	7428
528	878	7424
529	879	7420
530	881	7417
531	882	7415
532	884	7413
533	885	7409
534	887	7405
535	888	7402
536	890	7399
537	891	7396
538	893	7394
539	894	7390
540	896	7388
541	897	7385
542	899	7382
543	901	7381
544	902	7377
545	903	7373
546	905	7369
547	906	7365
548	908	7362
549	909	7358
550	910	7354
551	912	7350
552	913	7346
553	915	7343
554	916	7340
555	918	7337
556	919	7334
557	921	7331
558	922	7329
559	924	7326
560	926	7328
561	927	7325
562	929	7321
563	930	7318
564	931	7314
565	933	7312
566	934	7308
567	936	7304
568	937	7301
569	939	7298
570	940	7294
571	941	7289
572	943	7286
573	944	7283
574	946	7280
575	947	7277
576	949	7275
577	950	7270
578	951	7267
579	953	7264
580	954	7260
581	956	7257
582	957	7253
583	958	7250
584	960	7246
585	961	7243
586	963	7240
587	964	7237
588	966	7234
589	967	7232
590	969	7229
591	970	7227
592	972	7224
593	973	7220
594	974	7217
595	976	7213
596	977	7210
597	979	7208
598	980	7206
599	982	7203
600	984	7204
601	985	7201
602	987	7199
603	988	7197
604	990	7194
605	991	7191
606	993	7188
607	994	7186
608	996	7184
609	998	7182
610	999	7179
611	1000	7176
612	1002	7173
613	1003	7171
614	1005	7168
615	1006	7165
616	1008	7161
617	1009	7159
618	1011	7156
619	1012	7152
620	1013	7149
621	1016	7151
622	1017	7149
623	1019	7146
624	1020	7143
625	1021	7140
626	1023	7137
627	1024	7134
628	1026	7130
629	1027	7126
