iter	Logloss
0	0.6745222455
1	0.6567225939
2	0.6411493148
3	0.627246104
4	0.6102393397
5	0.5971472281
6	0.5817779597
7	0.5688649537
8	0.5531174621
9	0.5410055044
10	0.5297374503
11	0.5182167733
12	0.5060261139
13	0.4951446238
14	0.4850930749
15	0.475264433
16	0.4663626059
17	0.4565439705
18	0.4487326901
19	0.4396390276
20	0.4319355263
21	0.4219440819
22	0.4121640734
23	0.4044026615
24	0.3955813528
25	0.386871185
26	0.3792203048
27	0.3721078275
28	0.3641246857
29	0.3562253259
30	0.3473420622
31	0.3415933289
32	0.3356345478
33	0.3296372032
34	0.3229853757
35	0.3153723752
36	0.3086368303
37	0.3030055595
38	0.2961652014
39	0.29044542
40	0.2848536628
41	0.2797724465
42	0.2743810381
43	0.2704962079
44	0.2655272112
45	0.2598095003
46	0.2560723617
47	0.2519441877
48	0.2492317999
49	0.244641008
50	0.2404346637
51	0.2362736112
52	0.2325453577
53	0.2289565203
54	0.2256758926
55	0.2219864732
56	0.2189285282
57	0.2145990618
58	0.2106629992
59	0.2072356208
60	0.2040652781
61	0.2009811026
62	0.1981947757
63	0.19559559
64	0.1928036487
65	0.1905388393
66	0.1873765931
67	0.1854386798
68	0.1831058704
69	0.1801962281
70	0.1776669424
71	0.1756431405
72	0.1723202441
73	0.1703713599
74	0.1686259694
75	0.1658123504
76	0.163563221
77	0.1614525845
78	0.1591665349
79	0.1574389603
80	0.1556111211
81	0.1538998949
82	0.1519306068
83	0.1500251814
84	0.1478575365
85	0.1457152844
86	0.1441755539
87	0.1421285557
88	0.1401869077
89	0.1387163458
90	0.1370528041
91	0.1358323993
92	0.1341633643
93	0.1324659883
94	0.1312313284
95	0.1297058119
96	0.128663277
97	0.1278716866
98	0.1263886631
99	0.1248114026
100	0.1236972518
101	0.1222519378
102	0.1212399212
103	0.1200430514
104	0.1187999787
105	0.1174886679
106	0.1165246663
107	0.1152319658
108	0.1141000864
109	0.1129543339
110	0.1118879875
111	0.1105815488
112	0.1096079057
113	0.1084646439
114	0.1075837012
115	0.1064319305
116	0.1053164848
117	0.1045191117
118	0.1034777103
119	0.1025833168
120	0.1017109664
121	0.1006630064
122	0.0996989515
123	0.09905000532
124	0.09799603638
125	0.09674538959
126	0.0958115235
127	0.09472667157
128	0.09384640861
129	0.09287459092
130	0.09186041803
131	0.09066940048
132	0.08975148747
133	0.08916562071
134	0.08816015636
135	0.08735458404
136	0.08647223768
137	0.08555785518
138	0.08510049732
139	0.08470414964
140	0.08383556928
141	0.08316586948
142	0.08232979582
143	0.08171600108
144	0.08108748365
145	0.08048275794
146	0.07974556546
147	0.07917947388
148	0.07882729869
149	0.07798642281
150	0.07733857519
151	0.07679856905
152	0.07608265191
153	0.07552000244
154	0.0749189069
155	0.07430963018
156	0.07388742995
157	0.0730967864
158	0.07253930426
159	0.07199671827
160	0.07141306136
161	0.0709179412
162	0.0705358991
163	0.06995745075
164	0.06946431527
165	0.06908798141
166	0.06863961377
167	0.06796243912
168	0.0675142982
169	0.06690013395
170	0.06634393371
171	0.06569866453
172	0.06537756686
173	0.06493174214
174	0.06453612964
175	0.06416538665
176	0.06368614342
177	0.06314109006
178	0.06283958002
179	0.0622269117
180	0.06177698634
181	0.06136952095
182	0.06084522114
183	0.06045791316
184	0.06001813093
185	0.0596953894
186	0.05915702321
187	0.05872124837
188	0.05825728058
189	0.05767803899
190	0.05737624306
191	0.05687334711
192	0.05660455476
193	0.05631160348
194	0.05595866804
195	0.05547592053
196	0.05507894446
197	0.05483690885
198	0.05435846555
199	0.05397553396
200	0.0535766366
201	0.05324050358
202	0.0527836057
203	0.0523446116
204	0.05211736008
205	0.0517021528
206	0.05146325679
207	0.05127765472
208	0.0509746919
209	0.05066175653
210	0.05035238008
211	0.04998360791
212	0.04971676923
213	0.04941362584
214	0.04904414513
215	0.04882140623
216	0.04859485686
217	0.04842443732
218	0.04804308368
219	0.04775919361
220	0.04737677441
221	0.04720539097
222	0.046886166
223	0.04659531166
224	0.04631237431
225	0.04607412982
226	0.04572957251
227	0.04537894658
228	0.04518326822
229	0.04489301511
230	0.04476006319
231	0.04447524289
232	0.04419680224
233	0.0440434482
234	0.04372236785
235	0.04347607958
236	0.04317667327
237	0.04284046725
238	0.04268011871
239	0.04250556765
240	0.04226873068
241	0.04206073048
242	0.04180377485
243	0.04157772155
244	0.0413836937
245	0.04113640188
246	0.04093326143
247	0.04071001258
248	0.04043994996
249	0.04024505564
250	0.03995174907
251	0.03972788625
252	0.03954605242
253	0.039343776
254	0.03913891694
255	0.03883224425
